id,energy_consumption,energy_effective,energy_waste
0,229538486.0,160968000.0,68570486.0
1,229805823.0,166364000.0,63441823.0
2,227968854.0,165949800.0,62019054.0
3,227024577.0,165946190.0,61078387.0
4,225285348.0,164464190.0,60821158.0
5,225295484.0,164723730.0,60571754.0
6,225029595.0,163327040.0,61702555.0
7,224911764.0,163245910.0,61665854.0
8,222752072.0,163144640.0,59607432.0
9,223105384.0,163084980.0,60020404.0
10,223303398.0,163765180.0,59538218.0
11,223010721.0,163500510.0,59510211.0
12,225026518.0,166391930.0,58634588.0
13,225026518.0,166373120.0,58653398.0
14,224718637.0,167854930.0,56863707.0
15,224661260.0,167835360.0,56825900.0
16,224238263.0,167479870.0,56758393.0
17,221773043.0,162271020.0,59502023.0
18,221273483.0,162660520.0,58612963.0
19,220587493.0,161227540.0,59359953.0
20,222787186.0,166531580.0,56255606.0
21,221865896.0,163842130.0,58023766.0
22,221860647.0,163498230.0,58362417.0
23,221682543.0,164564700.0,57117843.0
24,219488280.0,159048810.0,60439470.0
25,218967181.0,159723880.0,59243301.0
26,218960484.0,159715520.0,59244964.0
27,218469069.0,159220570.0,59248499.0
28,219379137.0,161108030.0,58271107.0
29,219870552.0,162326310.0,57544242.0
30,219749282.0,163377960.0,56371322.0
31,219749282.0,163468590.0,56280692.0
32,223578337.0,164688390.0,58889947.0
33,222938321.0,164711570.0,58226751.0
34,223873910.0,165192080.0,58681830.0
35,223280049.0,165410960.0,57869089.0
36,222258485.0,160947480.0,61311005.0
37,219955984.0,159019360.0,60936624.0
38,219892091.0,158426370.0,61465721.0
39,219862407.0,159106570.0,60755837.0
40,218754506.0,157195740.0,61558766.0
41,218680296.0,157394480.0,61285816.0
42,215839682.0,153492830.0,62346852.0
43,218337120.0,156984460.0,61352660.0
44,218647354.0,158121040.0,60526314.0
45,219013698.0,158090450.0,60923248.0
46,218988901.0,158041240.0,60947661.0
47,218985100.0,157640340.0,61344760.0
48,217857470.0,157222340.0,60635130.0
49,216880070.0,155127400.0,61752670.0
50,216894912.0,154661520.0,62233392.0
51,216403497.0,153190350.0,63213147.0
52,216384492.0,153147600.0,63236892.0
53,214409239.0,151617530.0,62791709.0
54,214262086.0,150875390.0,63386696.0
55,216639159.0,153328860.0,63310299.0
56,214517477.0,148803440.0,65714037.0
57,214517477.0,148834600.0,65682877.0
58,214624267.0,147699350.0,66924917.0
59,210442081.0,145429800.0,65012281.0
60,209804056.0,145409660.0,64394396.0
61,210376921.0,145933870.0,64443051.0
62,209759530.0,144259020.0,65500510.0
63,213297718.0,147160510.0,66137208.0
64,198093899.0,115752180.0,82341719.0
65,193781393.0,114241300.0,79540093.0
66,193231334.0,114830870.0,78400464.0
67,192675845.0,113271920.0,79403925.0
68,188820364.0,103176650.0,85643714.0
69,187090004.0,104407470.0,82682534.0
70,189823647.0,106595510.0,83228137.0
71,188957019.0,104918950.0,84038069.0
72,189098380.0,107324540.0,81773840.0
73,189181459.0,108845490.0,80335969.0
74,186689813.0,103976360.0,82713453.0
75,184756733.0,102190360.0,82566373.0
76,180773285.0,97601100.0,83172185.0
77,183090085.0,102563520.0,80526565.0
78,180422869.0,98244820.0,82178049.0
79,182819852.0,103109580.0,79710272.0
80,181817293.0,102232160.0,79585133.0
81,179122565.0,99943800.0,79178765.0
82,177694475.0,99668110.0,78026365.0
83,177790405.0,99782870.0,78007535.0
84,176955090.0,99449040.0,77506050.0
85,176271996.0,99924800.0,76347196.0
86,176362858.0,97525100.0,78837758.0
87,175198485.0,97078220.0,78120265.0
88,176888663.0,97273160.0,79615503.0
89,177119257.0,97596160.0,79523097.0
90,177983351.0,97849810.0,80133541.0
91,177179530.0,96914250.0,80265280.0
92,176083032.0,95824980.0,80258052.0
93,175446998.0,94415560.0,81031438.0
94,174846983.0,94503910.0,80343073.0
95,172749374.0,93611290.0,79138084.0
96,169169918.0,89328310.0,79841608.0
97,169022041.0,88066140.0,80955901.0
98,166223238.0,86182860.0,80040378.0
99,165894361.0,86105150.0,79789211.0
100,166355187.0,84152520.0,82202667.0
101,162385495.0,80681790.0,81703705.0
102,162467850.0,79295170.0,83172680.0
103,162861344.0,80197670.0,82663674.0
104,159019257.0,75289780.0,83729477.0
105,154626749.0,74275750.0,80350999.0
106,154310361.0,74682540.0,79627821.0
107,148557457.0,68608050.0,79949407.0
108,149592596.0,63543410.0,86049186.0
109,150806020.0,68013350.0,82792670.0
110,150931091.0,70230460.0,80700631.0
111,145402265.0,63452590.0,81949675.0
112,147231994.0,64637430.0,82594564.0
113,146327537.0,66594810.0,79732727.0
114,144032095.0,63211670.0,80820425.0
115,146107079.0,66665300.0,79441779.0
116,141344245.0,59973310.0,81370935.0
117,146187443.0,65253790.0,80933653.0
118,139365010.0,54910380.0,84454630.0
119,137384146.0,52537660.0,84846486.0
120,136872278.0,52343670.0,84528608.0
121,133381331.0,47861570.0,85519761.0
122,131270871.0,45212210.0,86058661.0
123,131676492.0,46161070.0,85515422.0
124,127268780.0,43633690.0,83635090.0
125,121943579.0,42190260.0,79753319.0
126,116744535.0,39893160.0,76851375.0
127,112586241.0,40585710.0,72000531.0
